PID,Section,Stage,Group,Condition,Code,Time_HH,Fear.rating,Repeat,TOAccuracy,Recall,Segment,Analytic,Clout,Authentic,Tone,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,States,Motives,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Peak_Staging,Peak_PlotProg,Peak_CogTension,Valley_Staging,Valley_PlotProg,Valley_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5,Event.Int,Place.Int,Time.Int,Perceptual.Int,Emo.Tho.Int,Event.Ext,Place.Ext,Time.Ext,Perceptual.Ext,Emo.Tho.Ext,Semantic,Repetition,Other,Internal,External,Total,Percent_Internal,ContextualScore,PerceptualBias,WordCount,Age
1001,Infirmary,Immediate,Control,Baseline,0,06:15pm,2,0,0.8,"Infirmary was very colorful. It started with an entry room with neon color murals. You were then given 3D glasses which made the neon murals on the walls pop out a lot. There were neon spiders on the walls, and at one spot neon spikes coming out of the wall. he neon and 3D glasses made there be different depth perception. At one point there was a bridge with the different colors that was difficult to walk across because some steps appeared higher and some lower.",1,89.52,40.06,91.21,20.23,0,0,0,0,9.3,0,9.3,1.16,3.49,0,0,0,3.49,0,2.33,1.16,1.16,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,2.33,0,0,0,1.16,0,0,0,0,0,0,0,0,0,2.33,24.42,0,3.49,16.28,4.65,0,0,0,2.33,-39.18,-23.46,-38.78,-55.32,3,5,5,1,3,1,0,68.42,100,5.26,5.26,91.67,25,0,75,100,0,0,0,0,100,1,2,0,8,0,0,0,0,0,0,0,0,0,11,0,11,1,11,0.727272727,86,27
1001,Infirmary,Delay,Control,Baseline,0,06:15pm,2,1,0.8,Infirmary was very colorful. There were pictures painted on wood canvases and the walls had trippy looking murals. You were handing 3d glasses that really made the colors look cool. There were colorful spiders and spikes on the walls. There was a tunnel thing that you pass through. There was a shaky bride that was painted with the 3d colors. I believe there was a woman on a couch at one point and you ended with looking a film projector.,1,58.42,85.69,28.56,78.09,1.25,1.25,0,0,3.75,0,3.75,1.25,1.25,0,0,1.25,0,0,3.75,3.75,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,6.25,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,21.25,1.25,2.5,8.75,8.75,0,1.25,0,2.5,19.03,15.48,10.65,30.94,5,4,4,2,5,1,20,0,60,40,100,80,80,80,100,0,0,0,0,100,0,1,2,0,6,0,1,0,0,1,0,0,0,0,9,2,11,0.818181818,9,0.666666667,80,27
1001,Asylum,Delay,Control,Baseline,0,06:15pm,2,0,0.5,Asylum had a woman that was on a couch in a room with a director chair. It was 1920s ish themed. There was a person talking on the phone. An actor slaps a movie directing thing at you at one point. i really dont remember too much about this one.,1,86.58,82.38,6.58,1,1.96,0,0,1.96,3.92,0,3.92,1.96,0,0,0,1.96,0,1.96,3.92,0,3.92,0,0,0,0,0,0,0,13.73,3.92,0,0,0,0,3.92,9.8,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,5.88,0,0,5.88,0,0,0,1.96,1.96,-7.36,61.2,-27.97,-55.32,3,5,5,5,2,1,87.88,66.67,100,66.67,0,24.24,0,0,0,100,0,0,0,0,100,1,1,0,3,0,0,0,0,0,0,0,0,1,5,1,6,0.833333333,5,0.6,51,27
1001,DevilsDen,Delay,Control,Baseline,0,06:15pm,3,0,0.4,The Devil's Den section was very jumpy (trying to scare you with loud nosies). There was one point we went outside and an actor with a chainsaw tried to scare. Near the beginning there was a woman behind some sort of welding table. Before entering there was a short black lady with hatchets swinging them wildly near people. At one point ( I believe after  walking back inside from the outside area) there was a man in that dropped a heavy metal frame at you from above that made a loud sound when it hit above you. There was also an actor that came up behind people and would make snorting noises behind them. I believe most of the actors were dressed in Dickies jumpsuites.  ,1,93.3,94.17,93.83,1.4,2.42,0.81,1.61,0,6.45,0,6.45,1.61,1.61,1.61,1.61,0,0,0,3.23,0,3.23,1.61,0,1.61,1.61,0,0,0,10.48,0,0,0,0,0,0,10.48,0,0,2.42,0.81,0,0,0,0,0,0,0,0,0,3.23,26.61,0,4.84,16.94,0,4.03,0.81,0,3.23,-6.22,-36.17,-12.36,29.87,2,4,5,1,2,1,0,100,100,66.67,8.33,50,0,0,100,57.29,0,0,96,96,100,6,1,0,8,0,0,0,0,0,0,0,0,0,15,0,15,1,15,0.533333333,124,27
1001,GhostlyGrounds,Immediate,Control,Baseline,0,06:15pm,2,0,0.8,"You started by entering through a school bus. From there you went through hard rubber flaps into the penitentiary. People were trying to scare you. There was dead corpse dolls, one of which had its head pop out at you. You go up stairs at one point, and on to a shaky/moving floor, then back down stairs. There was a guy behind bars trying to scare you downstairs.",1,94.33,99,95.6,1.92,2.9,0,2.9,0,4.35,0,4.35,0,0,2.9,0,0,1.45,0,2.9,0,2.9,2.9,0,2.9,2.9,0,0,0,11.59,1.45,0,0,0,1.45,0,10.14,0,0,0,1.45,0,0,0,0,0,0,0,0,0,5.8,26.09,0,8.7,17.39,0,0,1.45,0,5.8,NA,65.32,36.49,NA,1,3,1,2,1,1,100,0,0,100,65.38,0,50,100,0,11.54,50,50,50,50,50,4,3,0,4,0,0,0,0,0,0,0,0,0,11,0,11,1,11,0.363636364,69,27
1001,GhostlyGrounds,Delay,Control,Baseline,0,06:15pm,2,1,0.2,The Ghostly Grounds began by entering a school bus. The school had a strobe light and smoke inside. Inside the bus was an actor that was trying to scare you by banging on the bus hard. After the bus you walked through some rubber strips hanging in a doorway and into the building. In the building there were bodies hanging from the roof. At one point you go up a stair set. up stairs an actor would pop his head through a door and try to scare you. There was a moving floor that was quite uneven. There was a body with a head that would pop off at you. There were nets with actors behind them that would try to scare you. At the end you ended in the kaleidoscope hall. ,1,97.4,97.3,25.57,3.5,2.29,0,2.29,0,5.34,0,5.34,0,0,4.58,0.76,0,0,0,2.29,0,2.29,2.29,0,2.29,2.29,0,0,0,9.16,0,0,0,0,0,0,9.16,0,0,0,0.76,0,0,0,0,0,0,0,0,0,1.53,18.32,0,3.05,13.74,0.76,0.76,0.76,0,1.53,NA,55.65,20.32,NA,2,4,1,4,2,1,65.74,100,25,0,50,11.64,0,14.29,100,57.14,50,50,50,50,50,6,2,0,10,0,0,1,0,0,0,0,0,0,18,1,19,0.947368421,18,0.555555556,131,27
1002,Infirmary,Delay,Control,Baseline,0,06:15pm,5,0,0.6,"This section had a lot of colors. We had to wear a 3d protective glass, that was annoying and kept slipping off my face. I remember going into a space that made me feel wobbly, one that was spinning. Lots of neon light and smoke. There was a dark passage with a bunch of obstacles with some green light we had to cross. The people who greeted us reminded me of Harley Quinn. There was paint splattered onto the walls. I dont think there was anyone who scared us like in the other houses. Just that there were a lot of situations that made me feel light headed. It was the first house we entered, after the introductions and rules section. Didnt seem very long. ",1,54.12,54.38,93.34,6.44,5.6,4.8,0,0.8,10.4,0,10.4,4,1.6,0,1.6,0,1.6,1.6,1.6,0,1.6,1.6,0,1.6,0.8,0.8,0,0,8,1.6,0,0.8,0.8,0,0.8,6.4,0,0,0,0,3.2,0,0,0,0,0,0,0.8,0,5.6,22.4,0,5.6,9.6,4,0.8,3.2,3.2,6.4,7.9,15.66,1.5,6.53,3,4,2,2,2,1,33.33,0,100,33.33,0,40,0,20,100,20,0,100,0,50,100,3,1,0,8,1,1,1,0,1,1,1,0,0,13,5,18,0.722222222,12,0.666666667,125,27
1002,Asylum,Immediate,Control,Baseline,0,06:15pm,5,0,0.5,"This was the second tour. We entered after Infirmary. There was a lady in red who was being dramatic. The theme was around a Hollywood movie shoot. The man at the door told us we were the stars and not the lady in red. The man at the end was yelling at someone and telling them that the place was not haunted. There was a narration on some director, whose name I cant recollect.",1,63.05,94.28,55.76,7.88,5.41,4.05,0,1.35,6.76,0,6.76,1.35,0,1.35,1.35,0,4.05,1.35,1.35,0,1.35,0,0,0,0,0,0,0,21.62,6.76,0,2.7,0,0,4.05,17.57,0,0,2.7,2.7,0,0,0,0,0,0,0,0,0,2.7,14.86,0,1.35,9.46,2.7,1.35,0,0,2.7,-8.9,38.21,-9.59,-55.32,2,5,5,5,2,1,65,100,100,65,0,28.57,0,28.57,57.14,100,0,0,0,0,100,4,0,0,3,0,0,0,0,0,0,1,0,1,7,2,9,0.777777778,7,0.428571429,74,27
1002,Asylum,Delay,Control,Baseline,0,06:15pm,5,1,0.25,"This was the second section we entered. The man who greeted us mentioned the lady in red and told us that we were ""the stars of the show"" but to not tell us. It was a Hollywood movie themed set. There was a narration ongoing about a director as we walked. I remember there were a bunch of characters throughout. A receptionist, a director. I think there was a typewriter. Then there was the lady in red who was lounging on a chaise and she left in a huff, it was all very dramatic. There was a man at the end who was talking on the phone who was arguing with the caller about not telling visitors that the set was haunted as it was bad for business. ",1,68.63,94.84,43.27,6.65,7.81,5.47,0,2.34,4.69,0.78,3.91,1.56,0,0,0,0,2.34,0.78,3.13,0.78,2.34,1.56,0,1.56,0,0.78,0,0,19.53,7.81,0,2.34,0.78,0,6.25,13.28,0,0,2.34,1.56,0,0,0,0,0,0,0,0,0,0,12.5,0,1.56,8.59,2.34,0,0,0,0,8.01,-31.15,1.58,53.59,5,4,3,1,5,1,0,43.1,86.21,55.17,100,65.38,41.35,41.35,100,0,0,50,100,0,0,2,0,0,12,1,0,0,0,0,0,1,0,0,15,1,16,0.9375,14,0.857142857,128,27
1002,DevilsDen,Delay,Control,Baseline,0,06:15pm,5,0,0.6,"There was a character at the beginning who was splitting groups up. She was bald and carried two knives. Very philosophical. As we entered there was a long walk to the main attraction. There were a bunch of people dressed as inmates who kept trying to scare us, and it worked. I remember a few weapons. Other than that I dont recollect much.",1,47.27,67.92,77.17,6.51,7.94,3.17,3.17,1.59,9.52,0,9.52,3.17,0,1.59,0,0,4.76,3.17,1.59,0,1.59,1.59,0,1.59,1.59,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,1.59,0,0,0,0,0,0,0,0,0,0,3.17,12.7,0,4.76,7.94,0,0,0,0,3.17,-7.69,47.27,-15.02,-55.32,3,2,5,2,3,1,75,0,100,29.17,29.17,75,100,0,58.33,85.42,0,0,0,0,100,3,0,0,4,1,0,0,0,0,1,0,0,1,8,2,10,0.8,7,0.571428571,63,27
